Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Lincrobotics Pty Ltd,Oxenford,4210.0,Nan,Nan,Grass Advertising Robots For Venues,Oxenford,4210.0,Nan,2017-03-09,Gold Coast (C),Gold Coast,Theodore,94000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Locatrix International Pty Ltd,Brisbane City,4000.0,Nan,Nan,Network-Independent Iot Location Solution,Brisbane City,4000.0,Nan,2017-03-10,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Bio Consultancy Pty Ltd,Sherwood,4075.0,Nan,Nan,Invertebrate Marine Collagen Biomaterial For The Regenerative Medicine Market,Sherwood,4075.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,Mount Ommaney,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Field Orthopaedics Pty Ltd,Spring Hill,4000.0,Nan,Nan,Field Orthopaedics Magnetic Total Wrist Replacement,Teneriffe,4005.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Futureprofit Pty Ltd,Springwood,4127.0,Nan,Nan,Evorce Product Validation And Market Commercialisation Project,Springwood,4127.0,Nan,2016-07-18,Logan (C),Logan,Springwood,128175.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Enviromist Pty Ltd,The Gap,4061.0,Nan,Nan,Dust Suppression System For Stockpile Discharge Conveyors,The Gap,4061.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Cooper,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Elevare Energy Pty Ltd,Enoggera,4051.0,Nan,Nan,"'""Smart"" Batteries Using Clean Energy To Reduce Commercial Building Electricity Costs",Enoggera,4051.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Ferny Grove,250000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Ellume Pty Ltd,East Brisbane,4169.0,Nan,Nan,Clinical Validation Trial For Respirio Flu Test (Rft),East Brisbane,4169.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,South Brisbane,250000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Go1 Pty Ltd,Underwood,4119.0,Nan,Nan,Go1 Online Training Native Mobile Application Development,Underwood,4119.0,Nan,2016-07-18,Logan (C),Logan,Waterford,178000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Impact Building Systems Pty Ltd,Highvale,4520.0,Nan,Nan,Patented Low Cost Solar Thermal Collector,Highvale,4520.0,Nan,2016-07-18,Moreton Bay (R),Moreton Bay,Pine Rivers,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,J T Lawson & G R Wickham,Yungaburra,4884.0,Nan,Nan,Atv Angle Alarm Development Project,Yungaburra,4884.0,Nan,2016-08-05,Tablelands (R),Far North Queensland,Hill,49834.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Immersive Robotics Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Wireless Vr Beta,Fortitude Valley,4006.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Gruntify Atf The Trustee For The Stjepanovic Family Trust,Fortitude Valley,4006.0,Nan,Nan,"Commercialisation Of Gruntify, Real-Time Incident And Report Management Platform",Fortitude Valley,4006.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Hypometer Technologies Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Hypometer Technologies Big Data Analytics,Fortitude Valley,4006.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Mcconnel,98900.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Apunga Pty Ltd,Coorparoo,4151.0,Nan,Nan,Apunga - Horticultural Farm Management & Qa System,East Brisbane,4169.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,South Brisbane,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Arthritis Relief Plus Limited,Varsity Lakes,4227.0,Nan,Nan,Patented Topical For Joint Pain Including From Osteoarthritis,Varsity Lakes,4227.0,Nan,2016-07-18,Gold Coast (C),Gold Coast,Mermaid Beach,93500.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Alsonex Pty Ltd,Brisbane City,4000.0,Nan,Nan,Complement Inhibitor For Treating Motor Neurone Disease,Brisbane City,4000.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Admedus Vaccines Pty Ltd,Woolloongabba,4102.0,Nan,Nan,Development Of A Therapeutic Hpv Vaccine To Clinical Proof Of Concept,St Lucia,4067.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,South Brisbane,187500.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Agalytics Pty Ltd,Indooroopilly,4068.0,Nan,Nan,Agalytics Soil Nutrient Management,Indooroopilly,4068.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Maiwar,50000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Atmail Pty Ltd,Peregian Beach,4573.0,Nan,Nan,Mailstorm - Object Storage Plugin For Email Service Providers,Peregian Beach,4573.0,Nan,2016-07-18,Noosa (S),Sunshine Coast,Noosa,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Didgigo Marketing Pty Ltd,Cairns,4870.0,Nan,Nan,Markets Engagement - Didgigo,Cairns City,4870.0,Nan,2016-07-18,Cairns (R),Far North Queensland,Cairns,100700.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Dingo Energy Pty Ltd,Wilston,4051.0,Nan,Nan,Cloud Based Visual Inspection App And Service For Asset Based Industries,Wilston,4051.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Stafford,97000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Coral Sunscreen Pty Ltd,Aitkenvale,4814.0,Nan,Nan,Uv Protection Filters For Humans And Materials Inspired By Great Barrier Reef Coral Sun Protection,Aitkenvale,4814.0,Nan,2016-07-18,Townsville (C),Townsville,Mundingburra,244400.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Axis Energy Group Pty Ltd,Bundall,4217.0,Nan,Nan,Optimisation Of Patented Wind Turbines,Bundall,4217.0,Nan,2016-07-18,Gold Coast (C),Gold Coast,Southport,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Brisbane Materials Technology Pty Ltd,Darra,4076.0,Nan,Nan,New Material For Led Manufacturing,Darra,4076.0,Nan,2016-07-18,Brisbane (C),Ipswich,Inala,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Kahest Pty Ltd,White Rock,4868.0,Nan,Nan,Catch'N'Release Anchor Retrieval System Commercialisation And Testing,White Rock,4868.0,Nan,2016-07-18,Cairns (R),Far North Queensland,Mulgrave,91000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Wedding Village Pty Ltd,Moggill,4070.0,Nan,Nan,"Commercialisation Of Visual Search, Comparison And Booking Platform For Wedding Services",Chapel Hill,4069.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Moggill,97800.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Affinity.Me Pty Ltd,Brisbane City,4000.0,Nan,Nan,"Affinity - Validation Of Affinity Engine, Investor Attraction And Market Development",Brisbane City,4000.0,Nan,2017-03-10,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Verton Technologies Australia Pty Ltd,Milton,4064.0,Nan,Nan,Rover (Remotely Operated Variable Effort Rotator),Brisbane City,4000.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Synergy Eight Pty Ltd,Wooloowin,4030.0,Nan,Nan,Commercialisation Of Digital Marketing Software,Wooloowin,4030.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Clayfield,250000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,V2I Pty Ltd,Arundel,4214.0,Nan,Nan,V2I Realtime Platform To Enable Systems Re-Engineering,Arundel,4214.0,Nan,2016-07-18,Gold Coast (C),Gold Coast,Bonney,234128.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Agrichain Pty Ltd,Burleigh Heads,4220.0,Nan,Nan,Blockgrain,Burleigh Heads,4220.0,Nan,2017-03-09,Gold Coast (C),Gold Coast,Burleigh,95000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Assured It Pty Ltd,Morningside,4170.0,Nan,Nan,Tru-Motion Simulation Platform (Tru-Motion  To Be Trademarked),Morningside,4170.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,Bulimba,245500.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Avmin Pty Ltd,Brisbane City,4000.0,Nan,Nan,Jetbidders Project,Brisbane City,4000.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,Mcconnel,74340.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Amblyoptica (Holding) Pty Ltd,Mount Lofty,4350.0,Nan,Nan,Clinical Trial To Validate Proof Of Concept Of A Medical Device To Treat Amblyopia,Mount Lofty,4350.0,Nan,2017-03-10,Toowoomba (R),Darling Downs,Toowoomba North,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Alkira Software Pty Ltd,Doo,4562.0,Nan,Nan,Alkira Software - Assistive Vocational Platform For Low/No Vision Applications,Doo,4562.0,Nan,2017-03-09,Noosa (S),Sunshine Coast,Ninderry,99800.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Allaro Homes Cairns Pty Ltd,Bungalow,4870.0,Nan,Nan,"Bim Bam Vr, Pricing And Digital Asset Library For Revit Architecture",Bungalow,4870.0,Nan,2017-03-10,Cairns (R),Far North Queensland,Cairns,99390.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Opmantek Ltd,Surfers Paradise,4217.0,Nan,Nan,Reportiot - Iot And Byod Management Platform,Surfers Paradise,4217.0,Nan,2016-07-18,Gold Coast (C),Gold Coast,Surfers Paradise,250000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Osler Technology Pty Ltd,Noosa Heads,4567.0,Nan,Nan,Osler Clinical Performance - Community Model,Noosa Heads,4567.0,Nan,2016-07-18,Noosa (S),Sunshine Coast,Noosa,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Natural Evolution Pty Ltd,Walkamin,4872.0,Nan,Nan,Natural Evolution - A World=Class Food Production Process For Gluten-Free And Rs Products,Walkamin,4872.0,Nan,2016-07-18,Tablelands (R),Far North Queensland,Hill,250000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2015-16 Round 1,Lifemere Pty Ltd,Hodgson Vale,4352.0,Nan,Nan,World-First Feeding Device For People Impaired With Dysphagia (Rosecup/Nutritaste),Hodgson Vale,4352.0,Nan,2016-07-18,Toowoomba (R),Darling Downs,Condamine,250000.0
