_Id,Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
843,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,The Corporations Of Professional Ecosystems Pty Ltd,Tingalpa,4173.0,,,Educorp,Tingalpa,4173.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Chatsworth,31066
844,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Workingmouse Pty Ltd,St Lucia,4067.0,,,Moving The Company'S Model-Driven Engineering Approach To Software Development To A Cloud-Based Approach,St Lucia,4067.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Maiwar,41153
845,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Truii Pty Ltd,Highgate Hill,4101.0,,,Develop User-Friendly Charting And Mapping Functionality,Highgate Hill,4101.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,South Brisbane,48000
846,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Engineroom Infrastructure Consulting Pty Ltd,Wootha,4552.0,,,Testing Procedures And Model For Dewatering Tailings,Wootha,4552.0,N/A,2016-07-18,Sunshine Coast (R),Sunshine Coast,Glass House,33412
847,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Be Psyched Pty Ltd,Townsville City,4810.0,,,Online Platform For Health Professionals,Townsville City,4810.0,N/A,2016-07-18,Townsville (C),Townsville,Townsville,44146
848,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Like A Photon Creative Pty Ltd,Woolloongabba,4102.0,,,Develop A Children'S App,Woolloongabba,4102.0,N/A,2016-07-18,Brisbane (C),Brisbane And Redlands,Miller,29654
849,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Watt Utilities Pty Ltd,Burleigh Waters,4220.0,,,"Improve Functionality Of ""Run Your Own Tender"" Software",Burleigh Waters,4220.0,N/A,2016-07-18,Gold Coast (C),Gold Coast,Burleigh,36667
850,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Synergy Eight Pty Ltd,Wooloowin,4030.0,,,Software To Solve Digital Marketing Issues.,Wooloowin,4030.0,N/A,2016-07-18,Brisbane (C),Brisbane And Redlands,Clayfield,37167
851,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Amtac Professional Services Pty Ltd,Greenbank,4124.0,,,Wireless Sensors To Monitor Liquid Waste,Greenbank,4124.0,N/A,2016-07-18,Logan (C),Logan,Logan,26320
852,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Oakbridge Investments Pty Ltd Aft Mckinnon Family Trust,Forest Lake,4078.0,,,Create A New Software Management Package For The Childcare Industry That Will Get Children Off The Waiting Lists And Into Centres By Better Utilising Assets.,Forest Lake,4078.0,N/A,2016-05-17,Brisbane (C),Ipswich,Inala,50000
853,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Fusion Sport Pty Ltd,Sumner Park,4074.0,,,Developing Analytical And Visualisation Tools To Prevent Human Injuries In The Sports Industry And Broader Fields,Sumner,4074.0,N/A,2016-05-17,Brisbane (C),Ipswich,Mount Ommaney,50000
854,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Opmantek Ltd,Surfers Paradise,4217.0,,,Create A Technology To Enable Automatic Payment And Licence Generation For Opmantek'S Customers Which Will Improve Service And Business Efficiency,Surfers Paradise,4217.0,N/A,2016-05-17,Gold Coast (C),Gold Coast,Surfers Paradise,45625
855,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Riverlife Pty Ltd,Kangaroo Point,4169.0,,,Creating A Personal Safety Recorder Box To Decrease Crime Rates,Kangaroo Point,4169.0,N/A,2016-05-17,Brisbane (C),Brisbane And Redlands,South Brisbane,35200
856,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Q-Pharm Pty Limited,Herston,4006.0,,,Creation Of An Integrated Volunteer Management System,Herston,4006.0,N/A,2016-05-17,Brisbane (C),Brisbane And Redlands,Mcconnel,48889
857,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 1,Dec-Uav Pty Ltd - Aitkenvale,Aitkenvale,4814.0,,,Complex Drone Operation Risk Assessment System,Aitkenvale,4814.0,N/A,2017-10-23,Townsville (C),Townsville,Mundingburra,42529
858,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Griffith University,Meadowbrook,4131.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Synapse Australia Ltd (Formerly - Brain Injury Association Of Queensland),West End,4101.0,N/A,2016-11-07,Logan (C),Brisbane And Redlands,Waterford,10800
859,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Griffith University,Nathan,4111.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Bivacor Pty Ltd,Wilston,4051.0,N/A,2016-11-07,Brisbane (C),Brisbane And Redlands,Toohey,6750
860,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Central Queensland University,Norman Gardens,4701.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Central Highlands Science Centre,Emerald,4720.0,N/A,2016-11-07,Rockhampton (R),Central Queensland,Keppel,10800
861,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,The University Of Queensland,St Lucia,4067.0,,,Coordinating And Mentoring Of Employing A Graduate - Synergy Eight Pty Ltd,Wooloowin,4030.0,N/A,2016-07-18,Brisbane (C),Brisbane And Redlands,Maiwar,10800
862,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Central Queensland University,Branyan,4670.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Community Lifestyle Support,Rubyanna,4670.0,N/A,2016-11-07,Bundaberg (R),Wide Bay,Bundaberg,10800
863,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - All Energy Pty Ltd,Spring Hill,4000.0,N/A,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,7200
864,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Foresters Community Fice Limited,Bowen Hills,4006.0,N/A,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,5400
865,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Dingo Software Pty Ltd,Wilston,4051.0,N/A,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
866,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,James Cook University,Douglas (Townsville),4814.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Sealink Queensland,Townsville,4810.0,N/A,2016-11-07,Townsville (C),Townsville,Mundingburra,10800
867,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,James Cook University,Douglas (Townsville),4814.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Campbell Scientific Australia Pty Ltd,Garbutt,4814.0,N/A,2016-11-07,Townsville (C),Townsville,Mundingburra,10800
868,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Engineroom Infrastructure Consulting,Wootha,4552.0,N/A,2016-07-18,Brisbane (C),Sunshine Coast,Maiwar,10800
869,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Q-Pharm Pty Ltd,Herston,4006.0,N/A,2016-05-17,Brisbane (C),Brisbane And Redlands,Maiwar,10800
870,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Axiom Project Services Pty Ltd,Brisbane City,4000.0,N/A,2016-05-17,Brisbane (C),Brisbane And Redlands,Maiwar,10800
871,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Oakbridge Investments Pty Ltd Aft Mckinnon Family Trust,Forest Lake,4078.0,N/A,2016-05-17,Brisbane (C),Ipswich,Maiwar,8100
872,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Cb Aerospace Pty Ltd,Hemmant,4174.0,N/A,2016-05-17,Brisbane (C),Brisbane And Redlands,Maiwar,10800
873,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 1,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Engineroom Infrastructure Consulting,Wootha,4552.0,N/A,2017-10-23,Brisbane (C),Sunshine Coast,Maiwar,10800
874,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Griffith University,South Brisbane,4101.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Like A Photon Creative Pty Ltd,Woolloongabba,4102.0,N/A,2016-07-18,Brisbane (C),Brisbane And Redlands,South Brisbane,10800
875,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Webstersgroup Pty Ltd,Fortitude Valley,4006.0,N/A,2016-07-18,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
876,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Griffith University,Nathan,4111.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Amtac Professional Services,Greenbank,4124.0,N/A,2016-07-18,Brisbane (C),Logan,Toohey,7200
877,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,University Of The Sunshine Coast,Sippy Downs,4556.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Bondi Labs Pty Ltd,New Farm,4005.0,N/A,2016-05-17,Sunshine Coast (R),Brisbane And Redlands,Buderim,10800
878,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Central Queensland University,Norman Gardens,4701.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Be Psyched,Townsville City,4810.0,N/A,2016-07-18,Rockhampton (R),Townsville,Keppel,10800
879,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University Of Technology,Kelvin Grove,4059.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Queensland Ballet - Anja Ali-Haapala,West End,4101.0,N/A,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,9000
880,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 4,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Carton Cloud Pty Ltd,Burleigh Heads,4220.0,N/A,2017-09-05,Brisbane (C),Gold Coast,Mcconnel,9000
881,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 4,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Immersaview,Banyo,4014.0,N/A,2017-09-05,Brisbane (C),Brisbane And Redlands,Mcconnel,2925
882,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 3,University Of The Sunshine Coast,Sippy Downs,4556.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Becker Helicopter - Mr Qiang Fu Services,Marcoola,4564.0,N/A,2017-06-26,Sunshine Coast (R),Sunshine Coast,Buderim,900
883,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 3,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - The 400 Co.,New Farm,4005.0,N/A,2017-06-26,Brisbane (C),Brisbane And Redlands,Mcconnel,5400
884,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 3,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Gilmour Space Technologies Pty Ltd,Pimpama,4209.0,N/A,2017-06-26,Brisbane (C),Gold Coast,Maiwar,10800
885,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 1,Queensland University Of Technology,Chermside,4032.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Field Orthopaedics Pty Ltd,Spring Hill,4000.0,N/A,2017-10-23,Brisbane (C),Brisbane And Redlands,Stafford,10800
886,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Flyfree.Ly,Aitkenvale,4814.0,N/A,2017-10-23,Brisbane (C),Townsville,Mcconnel,10800
887,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 1,James Cook University,Douglas (Townsville),4814.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Calxa Pty Ltd,Townsville City,4810.0,N/A,2017-10-23,Townsville (C),Townsville,Mundingburra,10800
888,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 4,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - The Water And Carbon Group,Brisbane City,4000.0,N/A,2017-09-05,Brisbane (C),Brisbane And Redlands,Maiwar,10800
889,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 1,James Cook University,Douglas (Townsville),4814.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Dec-Mech Pty Ltd,Aitkenvale,4814.0,N/A,2017-10-23,Townsville (C),Townsville,Mundingburra,10800
890,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 2,University Of The Sunshine Coast,Sippy Downs,4556.0,,,Queensland Oztag,Caloundra,4551.0,N/A,2017-05-04,Sunshine Coast (R),Sunshine Coast,Buderim,9112
891,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 1,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Gis People Pty Ltd,Fortitude Valley,4006.0,N/A,2016-11-21,Brisbane (C),Brisbane And Redlands,Maiwar,10800
892,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 2,James Cook University,Smithfield,4878.0,,,Agapeflows Pty Ltd,Enoggera,4051.0,N/A,2017-05-04,Cairns (R),Brisbane And Redlands,Barron River,10800
893,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Exploration Drill Rigs Pty Ltd,Redbank,4301.0,N/A,2016-11-21,Brisbane (C),Ipswich,Mcconnel,10800
894,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 1,Bond University Limited,Robina,4226.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Digital Syndicate Studios,Varsity Lakes,4227.0,N/A,2016-11-21,Gold Coast (C),Gold Coast,Mermaid Beach,10800
895,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 1,Griffith University,Meadowbrook,4131.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Community Information Support Services - Elizabeth Eldridge,Fortitude Valley,4006.0,N/A,2016-11-21,Logan (C),Brisbane And Redlands,Waterford,8100
896,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 2,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Biarri Optimisation,Brisbane City,4000.0,N/A,2017-05-04,Brisbane (C),Brisbane And Redlands,Maiwar,6300
897,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 2,University Of The Sunshine Coast,Sippy Downs,4556.0,,,Mindstar Enterprises Pty Ltd,Marcoola,4564.0,N/A,2017-05-04,Sunshine Coast (R),Sunshine Coast,Buderim,10800
898,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 2,Queensland University Of Technology,Brisbane City,4000.0,,,Synengco Pty. Ltd.,Highgate Hill,4101.0,N/A,2017-05-04,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
899,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 2,James Cook University,Douglas (Townsville),4814.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Ultra Coral Australia Pty. Ltd.,Paget,4740.0,N/A,2017-05-04,Townsville (C),Mackay-Whitsunday,Mundingburra,10800
900,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2016-17 Round 2,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Bioproton Pty Ltd - Carlos Luna Flores,Acacia Ridge,4110.0,N/A,2017-05-04,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
901,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 2,Products For Industry Pty Ltd,Darra,4076.0,,,Engineering Design Process Automation Software,Darra,4076.0,N/A,2018-02-15,Brisbane (C),Ipswich,Inala,29831
902,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 2,Ryan Aerospace Pty Ltd,Southport,4215.0,,,Helicopter Simulator - Cargo Lift Trainer Using Virtual Reality Techonologies,Southport,4215.0,N/A,2018-02-15,Gold Coast (C),Gold Coast,Southport,40626
903,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 1,University Of The Sunshine Coast,Sippy Downs,4556.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Medmin Pty Ltd,Buderim,4556.0,N/A,2017-10-23,Sunshine Coast (R),Sunshine Coast,Buderim,10800
904,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 2,Fusion Sport Pty Ltd,Sumner Park,4074.0,,,Human Performance Customisable Wearables Platform V2,Sumner,4074.0,N/A,2018-02-15,Brisbane (C),Ipswich,Mount Ommaney,43909
905,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 2,Macrobotix Pty Ltd,Fortitude Valley,4006.0,,,Skyline Printer Painting Robot Stage 2,Fortitude Valley,4006.0,N/A,2018-02-15,Brisbane (C),Brisbane And Redlands,Mcconnel,50000
906,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Griffith University,Southport,4215.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Natura Pacific,Burleigh Heads,4220.0,N/A,2015-12-03,Gold Coast (C),Gold Coast,Bonney,10800
907,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Griffith University,Meadowbrook,4131.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Yfs Ltd,Slacks Creek,4127.0,N/A,2015-12-03,Logan (C),Logan,Waterford,9693
908,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Central Queensland University,Norman Gardens,4701.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Gp Mx Solutions Pty Ltd,Rural View,4740.0,N/A,2015-12-03,Rockhampton (R),Mackay-Whitsunday,Keppel,10800
909,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 2,Strategenics Pty Ltd,Brisbane City,4000.0,,,Driving Procurement Practice Change Through Experiential Design,Brisbane City,4000.0,N/A,2018-02-15,Brisbane (C),Brisbane And Redlands,Mcconnel,47533
910,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Bond University Limited,Robina,4226.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Taylor Willis Pty Ltd,Southport,4215.0,N/A,2015-12-03,Gold Coast (C),Gold Coast,Mermaid Beach,10800
911,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 1,Medmin Pty Ltd,Buderim,4556.0,,,Medmin Cep Funding And Clinical Audit Tool,Buderim,4556.0,N/A,2017-10-23,Sunshine Coast (R),Sunshine Coast,Ninderry,48188
912,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 2,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Products For Industry Pty Ltd,Darra,4076.0,N/A,2018-02-15,Brisbane (C),Ipswich,Mcconnel,5175
913,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 1,Kinetic Orthotics Pty Ltd,Marcoola,4564.0,,,3D Printing Of Orthotic Interventions,Marcoola,4564.0,N/A,2017-10-23,Sunshine Coast (R),Sunshine Coast,Maroochydore,48000
914,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 1,Engineroom Infrastructure Consulting Pty Ltd,Wootha,4552.0,,,Innovation In Mine Tailings Treatment,Wootha,4552.0,N/A,2017-10-23,Sunshine Coast (R),Sunshine Coast,Glass House,49351
915,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 1,Field Orthopaedics Pty Ltd,Spring Hill,4000.0,,,Deployable Anchor Array System To Be Used In Wrist Surgery,Spring Hill,4000.0,N/A,2017-10-23,Brisbane (C),Brisbane And Redlands,Mcconnel,50000
916,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 2,Griffith University,Nathan,4111.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Ryan Aerospace,Southport,4215.0,N/A,2018-02-15,Brisbane (C),Gold Coast,Toohey,10800
917,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 1,University Of The Sunshine Coast,Sippy Downs,4556.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Kinetic Orthotics Pty Ltd,Marcoola,4564.0,N/A,2017-10-23,Sunshine Coast (R),Sunshine Coast,Buderim,10800
918,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 2,Griffith University,Nathan,4111.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Fusion Sport Pty Ltd,Sumner,4074.0,N/A,2018-02-15,Brisbane (C),Ipswich,Toohey,10800
919,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 2,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Strategenics Pty Ltd,Brisbane City,4000.0,N/A,2018-02-15,Brisbane (C),Brisbane And Redlands,Mcconnel,10800
920,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 2,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Macrobotix Pty Ltd,Wooloowin,4030.0,N/A,2018-02-15,Brisbane (C),Brisbane And Redlands,Mcconnel,8100
921,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,Griffith University,Nathan,4111.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Airtime Holdings Pty Ltd Aft S&G Witheridge Trust,Fortitude Valley,4006.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Toohey,10800
922,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Workingmouse Pty Ltd,St Lucia,4067.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Maiwar,10800
923,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Mandalay Technologies Pty Ltd,South Brisbane,4101.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Maiwar,900
924,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Evolving Machine Intelligence Pty Ltd,Indooroopilly,4068.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Maiwar,10800
925,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Music Broadcasting Society Of Queensland,Coorparoo,4151.0,N/A,2015-12-03,Brisbane (C),Brisbane And Redlands,Maiwar,10800
926,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 1,The University Of Queensland,St Lucia,4067.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Tejo Cogaso Pty Ltd Atf The Audio Fish Trust,Mountain Creek,4557.0,N/A,2015-12-03,Brisbane (C),Sunshine Coast,Maiwar,10800
927,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,Griffith University,Southport,4215.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Opmantek Ltd,Surfers Paradise,4217.0,N/A,2016-05-17,Gold Coast (C),Gold Coast,Bonney,8100
928,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,Queensland University Of Technology,Brisbane City,4000.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Fusion Sport Pty Ltd,Sumner,4074.0,N/A,2016-05-17,Brisbane (C),Ipswich,Mcconnel,3600
929,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,Griffith University,Southport,4215.0,,,Coordinating Role And Mentoring Of Employing A Graduate - 2 Australia Pty Ltd,Wooloowin,4030.0,N/A,2016-05-17,Gold Coast (C),Brisbane And Redlands,Bonney,10800
930,Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,Griffith University,Southport,4215.0,,,Coordinating Role And Mentoring Of Employing A Graduate - Riverlife Pty Ltd,Kangaroo Point,4169.0,N/A,2016-05-17,Gold Coast (C),Brisbane And Redlands,Bonney,1800
